created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid
2026-04-30T23:14:35.244Z,2026-04-30T23:14:37.274Z,t nh b o m d b o ph n ng c a iran ng trump ph n ph o c v iran,tin-tuc-viet-duc.bsky.social,Báo TIN TỨC VIỆT ĐỨC,did:plc:rqguygsoelhyqast3w6nocn3,0,0,0,at://did:plc:rqguygsoelhyqast3w6nocn3/app.bsky.feed.post/3mkqqkftng62q,bafyreihpwwworja774jfc4noic23b27cn4uji7lgfqqnr3vdlo7yg5bqce
2026-04-30T22:59:49.986Z,2026-04-30T22:59:51.874Z,t nh b o m d b o ph n ng c a iran ng trump ph n ph o c v iran,tin-tuc-viet-duc.bsky.social,Báo TIN TỨC VIỆT ĐỨC,did:plc:rqguygsoelhyqast3w6nocn3,0,0,0,at://did:plc:rqguygsoelhyqast3w6nocn3/app.bsky.feed.post/3mkqppzvla42r,bafyreigrdhtcqq3a5nh54l7ygsimdvoevwpw73vfakabcx5ir3zkeiv44e
2026-04-30T22:44:36.039Z,2026-04-30T22:44:37.279Z,t nh b o m d b o ph n ng c a iran ng trump ph n ph o c v iran,tin-tuc-viet-duc.bsky.social,Báo TIN TỨC VIỆT ĐỨC,did:plc:rqguygsoelhyqast3w6nocn3,0,0,0,at://did:plc:rqguygsoelhyqast3w6nocn3/app.bsky.feed.post/3mkqourxwmr2u,bafyreic34eztmszrmjth6lrgjos3kke66li7lvjdkmfjy6ybbcun4rwx5q
2026-04-30T22:29:38.709Z,2026-04-30T22:29:40.674Z,t nh b o m d b o ph n ng c a iran ng trump ph n ph o c v iran,tin-tuc-viet-duc.bsky.social,Báo TIN TỨC VIỆT ĐỨC,did:plc:rqguygsoelhyqast3w6nocn3,0,0,0,at://did:plc:rqguygsoelhyqast3w6nocn3/app.bsky.feed.post/3mkqo22u25t2r,bafyreiggkh6vsxwc3d5e7tvcc5o4ujok4qs5jlp2oxgg7b5wxilj6vjpfu
2026-04-30T22:22:37.151Z,2026-04-30T22:22:39.471Z,t nh b o m d b o ph n ng c a iran ng trump ph n ph o c v iran,tin-tuc-viet-duc.bsky.social,Báo TIN TỨC VIỆT ĐỨC,did:plc:rqguygsoelhyqast3w6nocn3,0,0,0,at://did:plc:rqguygsoelhyqast3w6nocn3/app.bsky.feed.post/3mkqnnjasqw2q,bafyreicoqzaouviz7ygzmfkdezugp4qyy6cvo5w63im5onvk3zcnwoyeoi
2026-04-30T22:07:23.999Z,2026-04-30T22:07:24.972Z,t nh b o m d b o ph n ng c a iran ng trump ph n ph o c v iran,tin-tuc-viet-duc.bsky.social,Báo TIN TỨC VIỆT ĐỨC,did:plc:rqguygsoelhyqast3w6nocn3,0,0,0,at://did:plc:rqguygsoelhyqast3w6nocn3/app.bsky.feed.post/3mkqmsb5ijd23,bafyreifqqgkvbtngmwuzzqb65r6kcau6j6humpk4rovw5v4c3rsheo7gt4
2026-04-30T22:05:36.966Z,2026-04-30T22:05:40.976Z,putin is personally overseeing nuclear weapon development this is the kind of garbage putin trump and kim jong ung would put out tinpot dictators know all about nuclear weapons,sburnette.bsky.social,SM Burnette,did:plc:elfo7jfnkgiiafkpm3vgzxyt,0,0,0,at://did:plc:elfo7jfnkgiiafkpm3vgzxyt/app.bsky.feed.post/3mkqmp2bdgc2f,bafyreibvium65bso3jdv3xttseadb4tvr7l3qvwdt6fttuhzk3imml5br4
2026-04-30T21:52:27.202Z,2026-04-30T21:52:28.474Z,t nh b o m d b o ph n ng c a iran ng trump ph n ph o c v iran,tin-tuc-viet-duc.bsky.social,Báo TIN TỨC VIỆT ĐỨC,did:plc:rqguygsoelhyqast3w6nocn3,0,0,0,at://did:plc:rqguygsoelhyqast3w6nocn3/app.bsky.feed.post/3mkqlxjz4er2s,bafyreicqmvil3dzplrupcwj5npbh7avlsxwk6bscjkgvcs2jujjuckvvvy
2026-04-30T21:47:11Z,2026-04-30T21:47:13.972Z,gi b n c n h 2 ph ng ng m u c n b3b m i nh t ph n t ch chi ti t v c p nh t 2026 gi a b i c nh qu t khu nam s i g n ng y c ng khan hi m vi c t m ki m m t kh ng gian s ng hi n i p ng tr n v n c ng n ng sinh ho t cho gia nh nh nh ng v n v a v n v i d ng ti n ang tr th nh m t b i,thepeakgarden.bsky.social,The Peak Garden,did:plc:nsfhwcczuvqru4ej45lvajpw,0,0,0,at://did:plc:nsfhwcczuvqru4ej45lvajpw/app.bsky.feed.post/3mkqlo5p2y322,bafyreiajgdh2xme7z5bw6omxge44uzohuep4kskjleik6qwpvltomnnasa
2026-04-30T21:37:25.947Z,2026-04-30T21:37:26.979Z,t nh b o m d b o ph n ng c a iran ng trump ph n ph o c v iran,tin-tuc-viet-duc.bsky.social,Báo TIN TỨC VIỆT ĐỨC,did:plc:rqguygsoelhyqast3w6nocn3,0,0,0,at://did:plc:rqguygsoelhyqast3w6nocn3/app.bsky.feed.post/3mkql4oib6a25,bafyreibiqzx2asbmplii6bxy6uwxcbvg6wginpyfjsxqfjchjxvzx4ieve
2026-04-30T21:22:44.863Z,2026-04-30T21:22:47.171Z,t nh b o m d b o ph n ng c a iran ng trump ph n ph o c v iran,tin-tuc-viet-duc.bsky.social,Báo TIN TỨC VIỆT ĐỨC,did:plc:rqguygsoelhyqast3w6nocn3,0,0,0,at://did:plc:rqguygsoelhyqast3w6nocn3/app.bsky.feed.post/3mkqkcgw4gh2r,bafyreiezaxltdreqyvtzcpxqyaqupg6dyvtcernuwttt2vtuz2ps4u3iva
2026-04-30T21:07:34.785Z,2026-04-30T21:07:36.375Z,t nh b o m d b o ph n ng c a iran ng trump ph n ph o c v iran,tin-tuc-viet-duc.bsky.social,Báo TIN TỨC VIỆT ĐỨC,did:plc:rqguygsoelhyqast3w6nocn3,0,0,0,at://did:plc:rqguygsoelhyqast3w6nocn3/app.bsky.feed.post/3mkqjhcqokx2r,bafyreibqrtgvijchhv73ooj3mzdhqozdqgtectjfcmipbt52m5hx6xkecq
